Country,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","[YEAR] Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Contributing family workers, female (% of female employment) (modeled ILO estimate)","[YEAR] Contributing family workers, female (% of female employment) (modeled ILO estimate)","Employers, female (% of female employment) (modeled ILO estimate)","[YEAR] Employers, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","[YEAR] Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in industry, female (% of female employment) (modeled ILO estimate)","[YEAR] Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in services, female (% of female employment) (modeled ILO estimate)","[YEAR] Employment in services, female (% of female employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","[YEAR] Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (national estimate)","[YEAR] Employment to population ratio, 15+, female (%) (national estimate)","Expected Years of School, Female","[YEAR] Expected Years of School, Female",Female and male surviving spouses have equal rights to inherit assets (1=yes; 0=no),[YEAR] Female and male surviving spouses have equal rights to inherit assets (1=yes; 0=no),Female migrants (% of international migrant stock),[YEAR] Female migrants (% of international migrant stock),"Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%)","[YEAR] Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%)","Female share of graduates in Agriculture, Forestry, Fisheries and Veterinary programmes, tertiary (%)","[YEAR] Female share of graduates in Agriculture, Forestry, Fisheries and Veterinary programmes, tertiary (%)","Female share of graduates in Arts and Humanities programmes, tertiary (%)","[YEAR] Female share of graduates in Arts and Humanities programmes, tertiary (%)","Female share of graduates in Business, Administration and Law programmes, tertiary (%)","[YEAR] Female share of graduates in Business, Administration and Law programmes, tertiary (%)","Female share of graduates in Education programmes, tertiary (%)","[YEAR] Female share of graduates in Education programmes, tertiary (%)","Female share of graduates in Engineering, Manufacturing and Construction programmes, tertiary (%)","[YEAR] Female share of graduates in Engineering, Manufacturing and Construction programmes, tertiary (%)","Female share of graduates in Health and Welfare programmes, tertiary (%)","[YEAR] Female share of graduates in Health and Welfare programmes, tertiary (%)","Labor force, female (% of total labor force)","[YEAR] Labor force, female (% of total labor force)",Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),[YEAR] Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),Law prohibits discrimination in employment based on gender (1=yes; 0=no),[YEAR] Law prohibits discrimination in employment based on gender (1=yes; 0=no),"Literacy rate, adult female (% of females ages 15 and above)","[YEAR] Literacy rate, adult female (% of females ages 15 and above)","Mandatory retirement age, female","[YEAR] Mandatory retirement age, female","Population ages 15-64, female","[YEAR] Population ages 15-64, female","Population, female (% of total)","[YEAR] Population, female (% of total)","Primary education, pupils (% female)","[YEAR] Primary education, pupils (% female)","Primary education, teachers (% female)","[YEAR] Primary education, teachers (% female)","Progression to secondary school, female (%)","[YEAR] Progression to secondary school, female (%)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),[YEAR] Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Share of female business owners (% of total business owners),[YEAR] Share of female business owners (% of total business owners),"Suicide mortality rate, female (per 100,000 female population)","[YEAR] Suicide mortality rate, female (per 100,000 female population)",The law prohibits discrimination in access to credit based on gender (1=yes; 0=no),[YEAR] The law prohibits discrimination in access to credit based on gender (1=yes; 0=no),There is legislation specifically addressing domestic violence (1=yes; 0=no),[YEAR] There is legislation specifically addressing domestic violence (1=yes; 0=no),"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","[YEAR] Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","Youth illiterate population, 15-24 years, % female","[YEAR] Youth illiterate population, 15-24 years, % female","Children out of school, primary, female","[YEAR] Children out of school, primary, female","Completeness of birth registration, female (%)","[YEAR] Completeness of birth registration, female (%)","Expected years of schooling, female","[YEAR] Expected years of schooling, female",Female headed households (% of households with a female head),[YEAR] Female headed households (% of households with a female head),Proportion of women who have ever experienced any form of sexual violence (% of women age 15-49),[YEAR] Proportion of women who have ever experienced any form of sexual violence (% of women age 15-49),Proportion of women who have ever experienced intimate partner violence (% of women age 15-49),[YEAR] Proportion of women who have ever experienced intimate partner violence (% of women age 15-49),Proportion of women who have sought help to stop physical or sexual violence (% of women age 15-49),[YEAR] Proportion of women who have sought help to stop physical or sexual violence (% of women age 15-49),"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","[YEAR] Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),[YEAR] Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),Female share of employment in senior and middle management (%),[YEAR] Female share of employment in senior and middle management (%),"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","[YEAR] Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",Female genital mutilation prevalence (%),[YEAR] Female genital mutilation prevalence (%)
DZA,29.2687301635742,2017.0,2.3020000457763703,2020.0,2.05900001525879,2020.0,3.4690001010894798,2020.0,23.301000595092802,2020.0,73.2300033569336,2020.0,11.579000473022498,2020.0,13.460000038147,2017.0,12.2455883026123,2020.0,0.0,2019.0,47.1661146241092,2019.0,58.1698,2018.0,76.78005,2018.0,80.57486,2018.0,57.651790000000005,2018.0,80.37373000000001,2018.0,48.46417,2018.0,70.51965,2018.0,17.6715591413856,2020.0,1.0,2019.0,0.0,2019.0,75.3229675292969,2018.0,60.0,2019.0,13425906.0,2019.0,49.481711564526904,2019.0,47.82363,2018.0,81.7284317016602,2019.0,98.3805,2017.0,21.7143546529362,2020.0,6.92567567567568,2018.0,1.7,2016.0,0.0,2019.0,1.0,2019.0,82.0199966430664,2017.0,52.3229,2018.0,,,,,,,,,,,,,,,,,,,,,,,,
BEN,28.5858879089355,2017.0,18.976999282836896,2020.0,0.7210000157356259,2020.0,29.5729999542236,2020.0,16.4850006103516,2020.0,53.9420013427734,2020.0,67.55100250244139,2020.0,,,8.823309898376461,2020.0,1.0,2019.0,52.938386924780595,2019.0,,,,,,,,,,,,,,,49.2227601615874,2020.0,1.0,2019.0,1.0,2019.0,31.0716495513916,2018.0,,,3234818.0,2019.0,50.07897111052979,2019.0,47.67029,2018.0,26.534940719604503,2019.0,,,94.4925514834162,2020.0,19.1559413349297,2018.0,5.9,2016.0,0.0,2019.0,1.0,2019.0,,,60.868019999999994,2018.0,88277.0,2019.0,85.9,2018.0,11.4420900344849,2016.0,24.9,2018.0,10.1,2018.0,22.4,2018.0,34.7,2018.0,,,,,,,,,,
CMR,30.0303688049316,2017.0,19.8600006103516,2020.0,2.3369998931884797,2020.0,47.234001159668,2020.0,11.3199996948242,2020.0,41.4459991455078,2020.0,68.14499664306639,2020.0,,,8.312488555908201,2020.0,1.0,2019.0,50.52779162019571,2019.0,32.27844,2017.0,29.08108,2017.0,63.43022,2017.0,54.365730000000006,2017.0,44.16451,2017.0,25.1945,2017.0,60.709990000000005,2017.0,46.98112270541161,2020.0,0.0,2019.0,0.0,2019.0,71.5862731933594,2018.0,,,7112836.0,2019.0,49.993296977665395,2019.0,47.0142,2018.0,55.513431549072294,2019.0,,,87.58194216241871,2020.0,,,7.4,2016.0,0.0,2019.0,0.0,2019.0,,,58.687740000000005,2018.0,262532.0,2019.0,,,11.335390090942399,2016.0,26.0,2018.0,13.1,2018.0,36.1,2018.0,35.1,2018.0,,,,,,,,,,
BDI,,,34.919998168945305,2020.0,0.0379999987781048,2020.0,95.9589996337891,2020.0,0.37799999117851296,2020.0,3.66300010681152,2020.0,79.56199645996091,2020.0,78.9199981689453,2017.0,7.9072437286377,2020.0,0.0,2019.0,50.7308001420481,2019.0,18.16911,2017.0,65.0655,2017.0,12.13425,2017.0,35.91636,2017.0,12.5625,2017.0,8.03403,2017.0,40.390190000000004,2017.0,51.819412440102504,2020.0,0.0,2019.0,1.0,2019.0,61.223690032959006,2017.0,60.0,2019.0,3063858.0,2019.0,50.4015453866706,2019.0,50.11885,2018.0,50.3133201599121,2019.0,76.97064,2017.0,103.34122084839399,2020.0,,,4.9,2016.0,0.0,2019.0,1.0,2019.0,,,61.754540000000006,2017.0,55313.0,2019.0,83.3,2017.0,10.8951501846313,2018.0,28.7,2017.0,23.1,2017.0,46.7,2017.0,34.8,2017.0,1.0527800321579,2017.0,27.9,2017.0,,,,,,
BFA,34.4989356994629,2017.0,52.0369987487793,2020.0,0.33000001311302196,2020.0,16.613000869751,2020.0,33.7509994506836,2020.0,49.6360015869141,2020.0,52.6479988098145,2020.0,36.1916007995605,2018.0,7.0044240951538095,2020.0,1.0,2019.0,52.4137662214723,2019.0,20.5868,2018.0,33.802820000000004,2018.0,17.509729999999998,2018.0,48.659209999999995,2018.0,8.536589999999999,2018.0,21.57895,2018.0,42.65487,2018.0,44.5359441475422,2020.0,0.0,2019.0,1.0,2019.0,32.6876182556152,2018.0,,,5418037.0,2019.0,50.0635660476455,2019.0,48.71518,2018.0,47.9831390380859,2019.0,79.47294000000001,2017.0,77.873449013374,2020.0,,,5.3,2016.0,0.0,2019.0,1.0,2019.0,8.38799953460693,2018.0,53.418980000000005,2018.0,377174.0,2019.0,,,9.16094017028809,2019.0,8.8,2018.0,,,,,,,,,,,23.9500007629395,2018.0,,,,
BWA,46.788516998290994,2017.0,4.43200016021729,2020.0,2.13499999046326,2020.0,15.953000068664599,2020.0,9.4370002746582,2020.0,74.61000061035159,2020.0,51.266998291015604,2020.0,,,8.51934337615967,2020.0,1.0,2019.0,43.0874534341206,2019.0,,,57.9646,2017.0,56.0,2017.0,,,70.58824,2017.0,,,70.03922,2017.0,48.640737824766596,2020.0,0.0,2019.0,0.0,2019.0,,,,,744929.0,2019.0,51.6380366739983,2019.0,,,,,,,85.077518823113,2020.0,,,4.5,2016.0,0.0,2019.0,1.0,2019.0,,,,,,,88.0,2017.0,,,,,,,,,,,,,,,,,,,,
AGO,,,9.91100025177002,2020.0,2.6119999885559104,2020.0,56.047000885009794,2020.0,1.10300004482269,2020.0,42.8499984741211,2020.0,71.0690002441406,2020.0,,,6.973901271820071,2020.0,1.0,2019.0,48.957472900569,2019.0,,,,,,,,,,,,,,,50.29310895288771,2020.0,1.0,2019.0,1.0,2019.0,,,58.0,2019.0,8301452.0,2019.0,50.5274750128821,2019.0,,,47.178768157959006,2016.0,,,96.5559184544899,2020.0,,,2.5,2016.0,1.0,2019.0,1.0,2019.0,,,,,,,25.2,2016.0,,,34.5,2016.0,8.1,2016.0,33.9,2016.0,36.2,2016.0,,,25.9,2016.0,,,,,,
CAF,9.71761703491211,2017.0,47.504001617431605,2020.0,0.5159999728202821,2020.0,81.004997253418,2020.0,2.68300008773804,2020.0,16.3120002746582,2020.0,62.0839996337891,2020.0,,,3.8481028079986603,2020.0,1.0,2019.0,47.0440931505036,2019.0,,,,,,,,,,,,,,,45.6538305287255,2020.0,0.0,2019.0,0.0,2019.0,25.7563800811768,2018.0,60.0,2019.0,1276547.0,2019.0,50.43447254571429,2019.0,43.61322,2016.0,19.0856895446777,2016.0,,,80.6899956717874,2020.0,,,4.0,2016.0,0.0,2019.0,1.0,2019.0,,,57.66718,2018.0,,,,,,,,,,,,,,,,,,,,,,,,
TCD,14.8502588272095,2017.0,44.2000007629395,2020.0,0.125,2020.0,74.4509963989258,2020.0,0.574000000953674,2020.0,24.975000381469698,2020.0,62.7999992370605,2020.0,48.861598968505895,2018.0,4.39257955551147,2020.0,1.0,2019.0,53.8617417956777,2019.0,,,,,,,,,,,,,,,45.54347717585521,2020.0,1.0,2019.0,1.0,2019.0,13.955229759216301,2016.0,60.0,2019.0,4052826.0,2019.0,50.0810127020442,2019.0,43.361740000000005,2016.0,18.7778301239014,2019.0,,,82.5151679633553,2020.0,,,7.4,2016.0,0.0,2019.0,1.0,2019.0,0.7387999892234799,2018.0,56.51149,2016.0,483664.0,2019.0,,,,,,,,,,,,,,,,,,,,,,
COG,20.9935626983643,2017.0,5.604000091552731,2020.0,0.535000026226044,2020.0,33.1199989318848,2020.0,20.976999282836896,2020.0,45.90299987792971,2020.0,60.7490005493164,2020.0,,,9.0955228805542,2020.0,1.0,2019.0,45.233773144809504,2019.0,20.80925,2017.0,21.91781,2017.0,42.50513,2017.0,48.75972,2017.0,21.8543,2017.0,15.705770000000001,2017.0,37.01299,2017.0,49.0341163121679,2020.0,0.0,2019.0,0.0,2019.0,74.61875915527341,2018.0,,,1501975.0,2019.0,50.0537867827995,2019.0,,,,,,,94.67971391860429,2020.0,,,3.3,2016.0,0.0,2019.0,0.0,2019.0,,,58.999469999999995,2018.0,,,,,,,,,,,,,,,,,,,,,,,,
