Country,"Children out of school, primary, female","[YEAR] Children out of school, primary, female","Children out of school, primary, male","[YEAR] Children out of school, primary, male","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","[YEAR] Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","[YEAR] Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","[YEAR] Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","[YEAR] Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","[YEAR] Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)","[YEAR] Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","[YEAR] Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","[YEAR] Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","Expected Years of School, Female","[YEAR] Expected Years of School, Female","Expected Years of School, Male","[YEAR] Expected Years of School, Male",Female primary school age children out-of-school (%),[YEAR] Female primary school age children out-of-school (%),"Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%)","[YEAR] Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%)",Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,[YEAR] Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,"Female share of graduates in Arts and Humanities programmes, tertiary (%)","[YEAR] Female share of graduates in Arts and Humanities programmes, tertiary (%)","Female share of graduates in Agriculture, Forestry, Fisheries and Veterinary programmes, tertiary (%)","[YEAR] Female share of graduates in Agriculture, Forestry, Fisheries and Veterinary programmes, tertiary (%)","Female share of graduates in Business, Administration and Law programmes, tertiary (%)","[YEAR] Female share of graduates in Business, Administration and Law programmes, tertiary (%)","Female share of graduates in Engineering, Manufacturing and Construction programmes, tertiary (%)","[YEAR] Female share of graduates in Engineering, Manufacturing and Construction programmes, tertiary (%)","Female share of graduates in Health and Welfare programmes, tertiary (%)","[YEAR] Female share of graduates in Health and Welfare programmes, tertiary (%)","Female share of graduates in Education programmes, tertiary (%)","[YEAR] Female share of graduates in Education programmes, tertiary (%)","Female share of graduates in Natural Sciences, Mathematics and Statistics programmes, tertiary (%)","[YEAR] Female share of graduates in Natural Sciences, Mathematics and Statistics programmes, tertiary (%)","Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","[YEAR] Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","Female share of graduates in other fields than Science, Technology, Engineering and Mathematics programmes, tertiary (%)","[YEAR] Female share of graduates in other fields than Science, Technology, Engineering and Mathematics programmes, tertiary (%)","Female share of graduates in Services programmes, tertiary (%)","[YEAR] Female share of graduates in Services programmes, tertiary (%)","Female share of graduates in Social Sciences, Journalism and Information programmes, tertiary (%)","[YEAR] Female share of graduates in Social Sciences, Journalism and Information programmes, tertiary (%)","Gross graduation ratio, primary, female (%)","[YEAR] Gross graduation ratio, primary, female (%)","Literacy rate, adult female (% of females ages 15 and above)","[YEAR] Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","[YEAR] Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, youth female (% of females ages 15-24)","[YEAR] Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","[YEAR] Literacy rate, youth male (% of males ages 15-24)","Progression to secondary school, female (%)","[YEAR] Progression to secondary school, female (%)","Primary education, teachers (% female)","[YEAR] Primary education, teachers (% female)","Primary education, pupils (% female)","[YEAR] Primary education, pupils (% female)"
COD,,,,,1.4958100319999998,2016.0,5.631269932,2016.0,4.992809772,2016.0,13.60243988,2016.0,49.94458008,2016.0,78.36145782,2016.0,0.01429,2016.0,0.03492,2016.0,8.786653519,2020.0,9.484571457000001,2020.0,,,25.09538,2016.0,,,53.44908,2016.0,25.84526,2016.0,38.33726,2016.0,9.799719999999999,2016.0,45.78552,2016.0,24.54335,2016.0,32.61015,2016.0,36.64532,2016.0,36.84872,2016.0,25.396829999999998,2016.0,35.3489,2016.0,12.74785,2015.0,66.49997711,2016.0,88.52468872,2016.0,79.71484375,2016.0,90.96096802,2016.0,,,28.61430931,2018.0,49.46434,2015.0
ZWE,,,,,2.466429949,2017.0,4.143929958,2017.0,7.706520081,2017.0,11.36509991,2017.0,79.00035858,2017.0,86.37658691,2017.0,0.024730001,2017.0,0.050409999000000004,2017.0,10.97491837,2020.0,11.13667202,2020.0,,,28.79315,2015.0,,,46.19565,2015.0,50.856629999999996,2015.0,51.79848,2015.0,20.46313,2015.0,30.785559999999997,2015.0,40.4089,2015.0,30.622840000000004,2015.0,46.11547,2015.0,47.50226,2015.0,66.94561,2015.0,45.66415,2015.0,,,88.28382874,2014.0,89.18537140000001,2014.0,93.18834686,2014.0,87.59185791,2014.0,,,,,,
EGY,,,,,,,,,12.67203045,2017.0,13.22704983,2017.0,,,,,0.237839997,2017.0,0.35958999399999997,2017.0,11.56178951,2020.0,11.37078762,2020.0,0.819747925,2016.0,36.89891,2016.0,64.60153198,2016.0,68.54548,2016.0,49.37484,2016.0,35.845259999999996,2016.0,20.93463,2016.0,55.94951,2016.0,69.14943000000001,2016.0,64.15861,2016.0,36.809129999999996,2016.0,55.75456,2016.0,40.04972,2016.0,41.338609999999996,2016.0,102.46708000000001,2018.0,65.50569153,2017.0,76.49521637,2017.0,86.81054688,2017.0,89.48338318,2017.0,98.1171,2017.0,62.29399109,2019.0,48.59901,2018.0
TUN,,,,,,,,,14.79384995,2016.0,15.53761959,2016.0,65.81136322,2016.0,82.99297333,2016.0,,,,,11.22850418,2020.0,9.972633362,2020.0,,,55.4091,2018.0,,,79.91369,2018.0,73.84793,2018.0,71.29323000000001,2018.0,44.18978,2018.0,75.25896,2018.0,75.38462,2018.0,77.14837,2018.0,55.640609999999995,2018.0,73.59779,2018.0,56.93581999999999,2018.0,77.3175,2018.0,104.37716,2018.0,72.22377014,2014.0,86.06011963,2014.0,95.80119324,2014.0,96.61183929,2014.0,97.53871,2016.0,63.97483826,2018.0,48.02835,2018.0
CAF,,,,,,,,,,,,,,,,,,,,,3.848102808,2020.0,5.288895607,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.75638008,2018.0,49.51459122,2018.0,28.70665932,2018.0,47.80493164,2018.0,,,19.08568954,2016.0,43.61322,2016.0
COG,,,,,,,,,,,,,,,,,,,,,9.095522881,2020.0,8.71701622,2020.0,9.145599365,2014.0,20.80925,2017.0,82.11528778,2014.0,42.50513,2017.0,21.91781,2017.0,48.75972,2017.0,15.705770000000001,2017.0,37.01299,2017.0,21.8543,2017.0,22.89855,2017.0,26.70157,2017.0,45.47211,2017.0,35.071090000000005,2017.0,41.878840000000004,2017.0,,,74.61875916,2018.0,86.07650757,2018.0,78.74230957,2018.0,85.34165192,2018.0,,,,,,
GAB,,,,,,,,,,,,,,,,,,,,,8.538388252,2020.0,7.92792654,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.42397308,2018.0,85.85234833,2018.0,91.44937897,2018.0,88.14196014,2018.0,,,,,,
KEN,,,,,,,,,,,,,,,,,,,,,11.37633133,2020.0,11.89507294,2020.0,,,30.72713,2016.0,,,47.73766,2016.0,37.28048,2016.0,46.98301,2016.0,19.4614,2016.0,49.060959999999994,2016.0,49.147420000000004,2016.0,37.98633,2016.0,30.10329,2016.0,48.086090000000006,2016.0,42.59353,2016.0,56.161319999999996,2016.0,105.91333,2016.0,78.1889267,2018.0,84.98883057,2018.0,88.08000183,2018.0,87.58999634,2018.0,100.0,2015.0,50.23619843,2015.0,49.67015,2016.0
MDG,,,,,,,,,,,,,,,,,,,,,8.609224318999999,2020.0,8.192638397,2020.0,,,31.01747,2018.0,,,50.901379999999996,2018.0,41.19318,2018.0,53.7922,2018.0,18.518520000000002,2018.0,67.86374,2018.0,50.94595,2018.0,37.24763,2018.0,33.636359999999996,2018.0,55.30948000000001,2018.0,61.05528,2018.0,46.03533,2018.0,48.241620000000005,2018.0,72.38408661,2018.0,77.27513885,2018.0,80.67803192,2018.0,81.719841,2018.0,72.62113000000001,2015.0,52.99055099,2019.0,49.79428,2018.0
MWI,,,,,,,,,,,,,,,,,,,,,9.593108177000001,2020.0,9.549746512999999,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.62173,2015.0,55.20410919,2015.0,69.75396729,2015.0,73.38580322,2015.0,72.49172211,2015.0,,,45.01205063,2019.0,49.949670000000005,2018.0
MUS,,,,,,,,,,,,,,,,,,,,,12.72084808,2020.0,12.15695572,2020.0,,,36.02903,2017.0,,,77.13675,2017.0,29.059829999999998,2017.0,59.21376,2017.0,25.25253,2017.0,64.62765999999999,2017.0,74.16149,2017.0,66.13333,2017.0,31.59117,2017.0,62.93728,2017.0,42.16867,2017.0,73.5363,2017.0,82.14329000000001,2018.0,89.36637878,2018.0,93.35735321,2018.0,99.35341644,2018.0,98.7379837,2018.0,98.79534,2017.0,80.17378998,2019.0,49.72,2018.0
NAM,,,,,,,,,,,,,,,,,,,,,9.700365067,2020.0,9.069747925,2020.0,,,42.495779999999996,2017.0,,,62.31156,2017.0,53.072630000000004,2017.0,66.01473,2017.0,33.9196,2017.0,79.50581,2017.0,76.45039,2017.0,60.12862,2017.0,38.15514,2017.0,70.16279,2017.0,51.30435,2017.0,71.36564,2017.0,88.95246,2018.0,91.43643188,2018.0,91.62741852,2018.0,96.19844055,2018.0,94.10936737,2018.0,,,68.49720764,2018.0,49.215540000000004,2018.0
NGA,,,,,,,,,,,,,,,,,,,,,10.09999943,2020.0,10.27700043,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.65647888,2018.0,71.25570679,2018.0,68.26262665,2018.0,81.5806427,2018.0,,,,,47.49777,2016.0
SYC,,,,,,,,,,,,,,,,,,,,,13.44680405,2020.0,12.73827171,2020.0,,,31.57895,2018.0,,,68.75,2018.0,66.66667,2015.0,77.12765999999999,2018.0,13.953489999999999,2018.0,88.88889,2018.0,65.51724,2018.0,78.94736999999999,2018.0,21.42857,2018.0,76.9863,2018.0,71.79486999999999,2018.0,78.57143,2018.0,108.70827,2018.0,96.35019684,2018.0,95.41175842,2018.0,99.59999847,2018.0,98.55999756,2018.0,97.23836999999999,2017.0,85.06288909999999,2019.0,50.14042,2018.0
UGA,,,,,,,,,,,,,,,,,,,,,7.01,2017.0,6.98,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.00156,2017.0,70.83805847,2018.0,82.65601349,2018.0,89.95063782,2018.0,88.82689667,2018.0,57.26474,2016.0,43.06932068,2017.0,50.28032,2017.0
DZA,,,,,,,,,,,,,,,,,,,,,12.2455883,2020.0,11.46792603,2020.0,,,58.1698,2018.0,,,80.57486,2018.0,76.78005,2018.0,57.651790000000005,2018.0,48.46417,2018.0,70.51965,2018.0,80.37373000000001,2018.0,83.0561,2018.0,48.93372,2018.0,69.7799,2018.0,41.45357,2018.0,68.37046,2018.0,109.08663999999999,2018.0,75.32296753,2018.0,87.42295837,2018.0,97.25215912,2018.0,97.59406281,2018.0,98.3805,2017.0,81.7284317,2019.0,47.82363,2018.0
GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.76851082,2014.0,62.15797043,2014.0,49.75632095,2014.0,71.25032806,2014.0,,,,,,
